
2025/02/08 (11:07:33) | ===> btop++ v.1.4.0
2025/02/08 (11:07:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (12:03:48) | ===> btop++ v.1.4.0
2025/02/08 (12:03:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (12:06:33) | ===> btop++ v.1.4.0
2025/02/08 (12:06:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (12:06:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (12:45:28) | ===> btop++ v.1.4.0
2025/02/08 (12:45:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (12:45:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (13:29:15) | ===> btop++ v.1.4.0
2025/02/08 (13:29:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (13:29:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (14:07:57) | ===> btop++ v.1.4.0
2025/02/08 (14:07:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (14:07:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (14:08:35) | ===> btop++ v.1.4.0
2025/02/08 (14:08:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (14:08:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (14:17:34) | ===> btop++ v.1.4.0
2025/02/08 (14:17:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (14:17:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (14:18:09) | ===> btop++ v.1.4.0
2025/02/08 (14:18:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (14:18:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (04:27:27) | ===> btop++ v.1.4.0
2025/02/09 (04:27:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/09 (04:27:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (04:57:32) | ===> btop++ v.1.4.0
2025/02/09 (04:57:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/09 (04:57:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (05:01:08) | ===> btop++ v.1.4.0
2025/02/09 (05:01:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/09 (05:01:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (05:01:43) | ===> btop++ v.1.4.0
2025/02/09 (05:01:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/09 (05:01:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (11:10:03) | ===> btop++ v.1.4.0
2025/02/09 (11:10:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/09 (11:10:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (13:47:26) | ===> btop++ v.1.4.0
2025/02/10 (13:47:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/10 (13:47:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (13:51:10) | ===> btop++ v.1.4.0
2025/02/10 (13:51:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/10 (13:51:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (22:12:15) | ===> btop++ v.1.4.0
2025/02/10 (22:12:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/10 (22:12:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (00:16:47) | ===> btop++ v.1.4.0
2025/02/11 (00:16:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/11 (00:16:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (06:36:42) | ===> btop++ v.1.4.0
2025/02/11 (06:36:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (11:23:42) | ===> btop++ v.1.4.0
2025/02/12 (11:23:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (11:23:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (11:35:53) | ===> btop++ v.1.4.0
2025/02/12 (11:35:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (11:35:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (11:56:31) | ===> btop++ v.1.4.0
